Leiten	guiding
cable	電線
生化學	biochemistry
Fckw	Cfcs
Arrival	Ankunft
calm	平静
Abbreviation	Kürzel
條例	ordinance
Rundfunk	radio
Paläobotanik	paleobotany
sumiko	澄子
rektor	rector
Carpet	Teppich
擔憂	worried
Shone	Schien
Pca	Pka
believed	geglaubt
deficiencies	mängel
North	北方
ウィズ	Wiz
Intentionality	Intentionalität
staniza	stanitsa
erweitert	enhanced
hydrophobic	Hydrophoben
Selbstverständlich	naturally
küsten	coastline
ziborium	Ciborium
schluckt	Swallows
mental	psychisch
procurement	auftragsvergabe
クレート	crate
Mythologie	mythology
內線	extension
キメラ	Chimera
malbork	marienburg
Niobium	铌
théodore	テオドール
Persuaded	Überredet
principalities	fürstentümer
teapot	急须
zyklus	Cycle
schwerwiegend	Serious
energisch	energetic
lightning	電光
ヌーフ	Nuh
Leguane	iguanas
verursachen	cause
linolsäure	Linoleic
Distributionen	Distributions
Immigrate	Einwandern
Cafés	Cafes
Feedstock	Ausgangsstoffe
カゲロウ	mayfly
Condensing	Kondensation
treatments	Therapien
stammbaum	Pedigree
devoured	verschlungen
Ruthless	无情
無數	countless
dissidents	dissidenten
abgeordneten	congressman
Atoll	環礁
Zweifeln	Doubting
Epitome	縮影
resetting	リセット
Fractures	骨折
unsichtbar	invisible
恐怖	terror
Auftakt	kickoff
少	less
十九	Nineteen
mississippi	密西西比
Drawbacks	nachteile
Ortiz	オルティス
Effekte	Effects
Cocoa	ココア
departmental	departement
认识	Recognition
忍術	ninjutsu
paletten	pallet
Registered	registrierte
notation	表記
Mammoths	mammuts
Jacob	ジャコブ
陰極	Cathode
Climes	Gefilden
Frisch	Freshly
hübscher	Prettier
alien	异形
Verweigert	denies
Naturhistorischen	naturhistorisches
Memorialized	追悼
预谋	premeditated
Humanity	menschlichkeit
waiter	ウェイター
朝貢	Tribute
reeds	蘆葦
zählungen	census
Slavishly	Sklavisch
Astronom	astronomers
although	Obgleich
thrilled	Begeistert
systematically	systematisch
packaged	abgefüllt
Cher	シェール
敌军	Enemy
Gurt	strap
kleidung	clothes
群	Group
staircase	treppe
Block	區塊
Gegenstück	counterpart
尼姑	Nuns
酒田	sakata
Door	haustür
passers	通行人
sorry	entschuldigung
Gandhara	ガンダーラ
subsoil	底土
大野	Ono
Unpublished	非公开
editoren	editor
Spelling	つづり
Exquisite	絕妙
Garrisons	Garnisonen
tech	technologie
colour	farbton
hourly	Stündlich
Grammatik	grammar
Datensatz	record
dempster	デンプスター
Hof	courtyard
stagnation	stagnieren
表纸	cover
Semantic	semantische
Ehm	エーム
アイケルバーガー	eichelberger
Outer	außenseite
certainly	Gewiss
类别	Class
garantie	Warranties
詹	zhan
Investition	Investments
seafood	meeresfrüchte
Pictures	圖片
personal	Staffing
Verschickt	Sends
hölzerne	Wooden
Sodbrennen	Heartburn
Blew	explodierte
亜熱帯	Subtropical
förderung	Advancement
Annuities	Renten
engineers	工程师
ablenkung	Distraction
Berechnung	computation
kooperationen	Collaboration
Appending	追记
Luft	aerospace
Disbursements	Auszahlungen
Apanage	appanage
wishes	wünscht
Verifizierung	verification
urls	Url
Verändern	Alter
Exekution	Execution
More	更
monuments	sehenswürdigkeiten
alkoholiker	alcoholic
Matsukata	松方
wider	广义
Abstraktion	abstraction
Thymus	胸腺
party	聚会
ältere	elder
Mächtige	Mighty
gamsakhurdia	gamsachurdia
Behörden	Authorities
statische	static
カムイ	Kamui
Exclusions	Ausschlüsse
präsidentschaftswahl	presidential
disgraced	Blamiert
腋窩	axillary
petrochemie	petrochemical
alice	爱丽丝
Vorderbeine	Forelimbs
Mangled	Verstümmelt
inappropriate	不當
Unterdessen	Meanwhile
noodles	麪條
暴发	Outbreak
quantity	Menge
downhill	Abfahrt
Reformists	Reformer
Hose	Schläuche
Plurality	pluralität
womanizer	Frauenheld
sinusitis	鼻竇炎
Anastomoses	Anastomosen
Auszug	Extract
Vol	jahrgang
ソウル	soul
Trenches	gräben
kenn	know
flowers	blumen
Prep	Vorbereiten
health	gesundheitswesen
dissolution	Auflösung
merklich	noticeably
mayor	Bürgermeister
via	Über
Dämpfen	Dampen
Light	leichte
Biological	生物学
democritus	demokrit
häschen	bunny
Burden	last
kombinationen	ensembles
借りる	Borrow
Vorrichtung	Fixture
Machinery	Maschinen
瞎	blind
kriegsschiffe	Warship
Knorpelfische	Chondrichthyes
told	Erzählt
choking	erstickt
紅利	Bonuses
schuhe	Boots
Tobt	rages
Typically	typisch
Troubles	Schwierigkeiten
南方	south
猩猩	Orangutan
Francois	françois
Ruled	Beherrschten
Verkauf	selling
feierten	Celebrated
Content	Inhalten
Eishockey	hockey
diplomat	Diplomaten
friseur	Hairdresser
Smash	Zerschlagen
颜料	Pigments
Level	等級
allheilmittel	panacea
December	十二月
Berries	beeren
destiny	天命
オーランドー	orlando
ours	unserer
售票	Ticket
predictable	vorhersehbare
Officers	Amtsträger
Mobilisierung	mobilise
Schriftsatz	Pleadings
bushes	灌木叢
viel	lots
stäbchen	sticks
オルレアン	Orleans
Homeland	家路
Cycles	Zyklen
Ignorance	Unkenntnis
reconstruction	Rekonstruktion
Registers	レジスタ
体育馆	gymnasium
olympiade	Olympics
konversation	Conversational
onodera	小野寺
refunded	Zurückerstattet
tavern	taverne
boost	bewerben
比值	Ratio
Cleanliness	sauberkeit
elevator	エレベーター
Sirloin	filet
celtic	keltischen
fossil	Fossilen
exhibitions	展覽會
天鹅	swan
Yarn	毛糸
Odours	Gerüche
Melbourne	墨爾本
besonderen	Particular
Announces	Verkündet
Pineapples	凤梨
Individuelle	customized
verschwendung	wasting
kleben	bonding
Neighbour	Nachbarn
unierte	Uniate
Agreed	議定
mwanza	ムワンザ
陰性	negative
stud	Hengst
Begünstigen	Favour
Pendeln	Commute
Küstenregionen	coastal
编译器	Compiler
periodischen	Periodic
熏製	Cured
Confectioner	Konditor
Rotation	輪值
Gefangen	Caught
hing	hung
Gerechtfertigt	Warranted
剑鞘	scabbard
gaussian	ガウス
hörbücher	Audiobooks
übersetzungen	Translations
样本	Samples
vorräte	Stocks
晕倒	Fainted
balken	bars
Gewinne	Profit
wohlwollenden	Benevolent
Multiple	倍数
Antiquities	文物
ヴァリアント	valiant
albern	Goofy
tunis	突尼西亚
fackelträger	torchbearer
sentences	sätze
流れる	flowing
grässlich	Ghastly
election	选举
coloured	Farbig
Zwischentitel	Intertitles
Komponieren	composing
sanity	Verstand
chat	聊
Umweltschützer	environmentalist
Razzia	Crackdown
Tenancies	租约
メイブル	mable
童子	Doji
辞書	dictionaries
Spun	gesponnen
advancement	fortschritte
stichworte	Tags
チェルシー	chelsea
painting	絵畫
吉普赛人	Gypsy
Reading	Lesen
geheimnissen	Secrets
処方笺	Prescriptions
ウォッジェ	Wotje
Composure	gelassenheit
erregung	Agitation
Ungehinderten	unhindered
性行为	Sex
damaged	Beschädigung
列宁	Lenin
perk	vorteil
Beratungsleistungen	consultancy
Maria	玛丽亚
Geschmolzenen	Molten
Barrierefreiheit	Accessibility
brechen	Break
Beherbergen	hosting
martial	Kampfkunst
Skylight	oberlicht
Unterschiedlich	Differentiated
Autistic	自閉症
illogical	unlogisch
outing	出游
widerwillig	Unwillingly
memorial	追悼
Knorr	クノール
柺杖	Cane
Flüchtige	volatile
搬遷	Relocation
水壺	kettle
anatolian	anatolische
Leaves	樹葉
Grapes	ブドウ
schwebt	Floats
unterbringung	accomodation
miner	Bergmann
Liefern	Provide
Audition	vorsprechen
fundamentals	Grundsätze
gültigkeit	valid
Zelten	tents
Irie	入江
bursche	Fellow
弹头	warhead
monumental	Monumentale
Truth	Wahrheiten
ベルヌ	berne
thrilling	aufregend
Expense	Kosten
海豚	Dolphins
Recalled	erinnerte
Kinder	childrens
benommen	Behaved
girl	mädchen
southerner	Südstaatler
岛村	shimamura
Wrinkles	皺紋
Distinction	区别
auditory	Akustische
会员	member
Gürteltiere	Armadillos
belohnen	Rewarding
Threaten	drohung
tacit	stillschweigende
straightening	Richten
turm	steeple
Oberteil	Uppers
Joon	俊
爐子	stoves
akuten	Acute
Seas	meere
Hing	Hung
Try	試す
veredelung	Grafting
absetzen	Discontinuation
Verbreitet	Widespread
Aktivisten	activist
Astro	アストロ
fitters	Maschinenschlosser
tatsächlich	actually
elevators	Aufzügen
Lullaby	搖籃曲
damaging	Beschädigung
Baronien	baronies
Gebühren	charges
Modules	单元
jawbone	kieferknochen
Distanz	distances
klinischer	Clinical
Produktkatalog	Catalog
initiating	发起
Pogrome	pogroms
Feind	enemies
taxi	計程車
Dienstleistung	Services
Dämpfung	attenuation
目前	currently
behälter	Containers
weighted	加权
Momentane	instantaneous
clutch	kupplung
buchungen	transactions
Option	möglichkeit
Disappear	消える
Attacks	襲擊
Lilien	lilies
coordinate	坐标
abrieb	abrasion
sprawl	蔓延
Danish	dänischen
Strudel	whirlpool
行業	Industries
broken	defekt
Antipope	gegenpapst
nondiscrimination	diskriminierungsverbot
airdrie	アードモア
Sedimentation	沈積
出产	birthing
habitual	慣性
Verlobten	fiancée
Kommerzielle	Commercial
zuzüglich	Plus
pharmacists	藥劑師
Fingernägel	nails
once	Mal
togo	トーゴ
潮溼	Moist
zweigstellen	branches
男裝	menswear
smuggling	schmuggel
motives	beweggründe
攻擊	assault
corrugated	gewellte
bildliche	Pictorial
Aerated	belüftet
Bombast	Schwulst
Rules	Regelungen
seated	Sitzen
resigned	辞任
fibrillation	颤动
骨头	Bones
Eucharist	聖餐
Efficiency	Effektivität
スワン	swan
Seeleuten	Seafarers
Spezifiziert	Specified
sparren	Rafters
Kennzahlen	Figures
algorithm	algorithmen
オスロ	Oslo
破坏	Sabotage
Egg	Eiern
Powers	權力
过滤	Filters
flüge	flight
Eltern	Parenting
bananas	Bananen
Cables	Leitungen
sit	座る
Hof	Court
Karosserie	Bodywork
Treaty	Vertrag
drums	Trommeln
序曲	Overture
墊圈	washers
Actors	俳优
extra	zusätzliche
łukasz	ルカシュ
Blocking	Sperrung
cantonese	粵語
危险	Dangerous
verfall	decay
riders	骑手
Annealing	Glühen
Motoring	autofahren
Flieger	Aviator
trägheit	sloth
backup	备用
vorzeichen	omen
drawn	gezogen
razor	刮刀
clamps	klammern
shutdown	关机
生還者	survivor
squire	侍從
longest	längste
班級	classes
commemorate	gedenken
Locusts	Heuschrecken
hauptgruppen	Groupings
河马	hippo
暗房	Darkroom
flowers	Blüten
aufschlüsselung	Breakdown
lifestyle	lebensweise
korund	corundum
驗證	Verify
Moment	Augenblick
anpassung	customization
基本	Fundamentals
lawnmower	rasenmäher
midtown	innenstadt
Beets	Rüben
相互	mutual
Emergency	緊急
Expanding	Expandieren
Questioning	befragung
Playful	verspielt
Forelle	Trout
姫路	Himeji
guns	枪支
steppen	steppes
Anything	irgendwas
enthalpy	Enthalpie
セッター	Setter
metallic	metall
香气	Fragrance
rennt	runs
罪惡感	guilt
vault	Gewölbe
schießereien	shootings
ストライキ	strike
architektur	Architecture
membrane	Membran
broadcast	sendung
worried	Beunruhigt
lou	卢
mahlzeit	meal
Limbs	glieder
鄙视	Scorn
ジンバブエ	zimbabwean
teller	テラー
エッグ	Eggs
bofors	ボフォース
Present	Anwesend
reasonable	合理
Durch	Thru
sworn	schworen
Saufen	booze
Exquisite	精致
Corrections	更正
gift	Geschenke
Applicant	Antragsteller
新加坡	singapore
Surmise	Vermute
Übertretungen	transgressions
country	國名
Completed	Abgeschlossen
suzdal	スーズダリ
dolmetschen	interpreting
Shale	schiefer
ヤレ	yare
Empirical	empirisch
Years	Jahren
wille	Willpower
Schottischen	Scottish
separatist	Separatistischen
flüssigkeiten	Fluid
solid	坚固
korreliert	Correlate
repairing	reparaturen
カタツムリ	Snail
Testimonials	empfehlungen
baldmöglichst	asap
foes	feinde
shiraki	白木
力學	mechanics
expendable	entbehrlich
Charity	wohlfahrt
Exam	試験
イデオロギー	ideologies
umgehung	circumvent
gary	ゲーリー
endspiel	Endgame
schlachten	Slaughter
Eingegriffen	intervened
verbreitung	Dissemination
Neger	Negroes
pantheism	Pantheismus
カスコ	Casco
ガマ	gama
shaken	Geschüttelt
河川	river
Contestant	參賽者
暴利	profiteering
胆汁	Bile
archivar	Archivist
gelacht	Laughed
shelving	Regale
kamen	仮面
明文	explicit
Diverse	various
放弃	Waiver
鋸齒	Aliasing
Housewives	主婦
Passend	fitting
typed	Getippt
Specified	Spezifizierte
Austral	アウストラル
northernmost	nördlichsten
farmhouse	landhaus
钻机	rig
zuordnen	assign
Indent	Einzug
molekülen	molecules
Essays	随笔
bedauert	deplores
provided	vorausgesetzt
Inflated	Aufgeblasen
Voltages	Spannungen
抵制	boycotts
surrender	降伏
achievement	成就
testing	Tests
Replacement	替代
郡	county
illegally	Illegal
Sanctioned	Geahndet
Platz	plaza
Photos	Fotografien
seefahrer	Sailors
löschen	clear
児童	Child
anleitung	Instruction
鸽	Pigeon
noncommercial	Nichtkommerziellen
regionalism	regionalismus
stichprobe	Sample
Denies	leugnet
theologie	Theology
Least	wenigsten
上场	Listed
naturwissenschaft	science
Berichtigte	corrected
Express	特快
wird	Will
refinement	微调
地形	Landform
鉛筆	Pencil
months	月
tinten	Inks
Gefallen	Liked
cave	höhle
Inner	内在
Superficially	Oberflächlich
barcelona	巴塞隆纳
untätig	Inactive
Epic	叙事詩
Processed	Verarbeitet
Llahs	Lláh
专制	Tyranny
afterwards	anschließend
Gem	juwel
beschreibt	Described
Faxes	faxe
Bilateral	Bilateralen
レナルド	Renaldo
administration	Verwaltung
键	Bond
county	kreis
belts	gurte
再送	retransmitted
Spc	Asp
隱私權	privacy
Verleumderisch	Defamatory
genetics	遗传学
Savagery	野蛮
Someone	jemand
地质	geology
Grauwacke	greywacke
伊藤	ito
Gülle	slurry
Lagerbestände	stocks
Rie	りえ
choline	Cholin
Morde	murder
ロズベルグ	rosberg
Marking	Aufschrift
Newsletters	Rundschreiben
Operetten	Operettas
Packaging	Verpackungen
真實性	Authenticity
fashionable	Modern
harder	Schwieriger
reichlich	ample
displaying	Angezeigt
名称	denomination
未知	unknown
更正	Corrections
mengen	quantity
manipulating	Manipulieren
东山	Higashiyama
证人	witnesses
Ancient	alte
ポツダム	potsdam
Granate	grenade
robbers	盜賊
新生儿	Neonatal
肉質	succulent
düngemittel	fertilizer
applications	bewerbung
weichtiere	Molluscs
maltese	馬耳他
Gefäße	vessels
计时器	stopwatch
Reveals	Verrät
referral	befassung
nod	点头
thrombocytopenia	Thrombozytopenie
Waveguide	Wellenleiter
Demographics	einwohnerzahl
bedrooms	寝室
Zieht	attracts
spinnen	spider
ロスチャイルド	rothschild
Hue	Farbton
Abgeleitet	deduced
kamenev	Kamenew
摂取	ingesting
カモミール	Chamomile
handbag	手袋
impatience	不耐煩
Solidification	erstarrung
Developer	bauunternehmer
taito	台东
Erlernt	learnt
Daxi	大渓
makarov	makarow
Iterations	反復
Furrier	Kürschner
hirado	平戸
互动	Interaction
英特尔	Intel
槓桿	levers
bewertung	assessment
elsewhere	Woanders
landkreise	counties
neuerungen	Innovations
lace	花邊
笑臉	Smiley
Sneakers	スニーカー
生魚片	sashimi
pataca	パタカ
齒輪	gears
distanzierung	distancing
Managed	bewirtschaftet
anteater	アリクイ
Connector	anschluss
home	Zuhause
认证	certified
Mystery	谜
Zentrale	headquarters
腦袋	Brain
fertilization	施肥
Opportunity	Möglichkeit
dogmatic	dogmatischen
Wachmann	Watchman
Rainmaker	Regenmacher
smart	intelligent
barista	バリスタ
清潔劑	detergent
neck	颈部
kartierung	Cartography
bookings	buchung
Herrschte	prevailed
残業	Overtime
instantaneous	Momentane
長方形	rectangular
劝说	persuade
domination	Herrschaft
Stabbed	stach
非対稱	Asymmetrical
观众	audience
Geschält	Shelled
加寬	Widened
unerbittlich	Unrelenting
三上	Mikami
ミゼット	Midget
哲学家	Philosopher
職工	Employee
Centre	mitte
フィッシャー	fisher
charakteristik	trait
Wording	formulierung
army	軍
Downsizing	Personalabbau
asbestos	石棉
rest	Übrige
Hört	Listening
Refrains	Choruses
kormoran	cormorant
invaded	Eingedrungen
Eskorte	Escorts
Opposition	反对党
Abscheidung	Capture
bewertungen	Rating
Retards	zurückgebliebene
赁贷	Lease
ガードル	Girdle
Gruß	Greetings
delivery	lieferbedingungen
中國地方	Chugoku
beetle	甲蟲
labia	陰脣
heimarbeit	Homework
ziffer	digit
Heimlich	Stealth
Adult	成年人
Fauvism	fauvismus
endemic	endemisch
Wandler	Transducer
teenagers	青少年
ehefrauen	Wives
Alcoholic	alkoholischen
seeverkehr	seaborne
黃金	golden
Approaching	nähert
hemmnisse	impediments
thaddäus	squidward
Agency	エージェンシー
Total	insgesamt
decree	erlaß
Pseudonym	僞名
Buns	brötchen
Werft	yard
墳墓	Grave
mikroprozessoren	Microprocessor
hands	両手
使い捨て	disposable
Dependable	zuverlässig
三橋	Mitsuhashi
Lcd	液晶
遺蹟	Relic
多樣性	diversity
glätten	smoothness
hätte	would
helikopter	helicopter
governments	Regierungen
直之	Naoyuki
rhabarber	Rhubarb
Gasoline	ガソリン
Steroide	steroids
Fantastic	fantastisch
sufficient	Ausreichende
Epicenter	Epizentrum
Sal	サル
Aggregation	聚合
Lighters	Feuerzeug
ファビアーノ	fabiano
banners	バナー
megaphone	传声筒
Necklace	项链
rebuild	重建
Marrakesh	マラケシュ
hiero	hieron
passionately	Leidenschaftlich
dissolving	Auflösen
Ungestraft	impunity
emporium	ゴリア
Pipe	pfeife
standard	基準
sprach	talked
Aserbaidschan	Azerbaijani
连贯	Coherent
anführer	leaders
stöhnen	moans
preservative	防腐劑
银行	Banks
Parents	保護者
udder	Euter
ees	Ebs
affairs	angelegenheiten
獨裁者	dictators
civil	Zivilen
Hypocrites	heuchler
Freundschaften	Friendships
画像	picture
unantastbar	Inviolable
Hearing	聴闻
Mennoniten	Mennonites
surround	Umgeben
Quintessenz	Quintessence
Berkelium	锫
Umstrukturierung	restructure
died	Starb
Gansu	甘肃
犬	Canine
childhood	Kindheit
Desinfektion	Decontamination
Purify	純化
Zäune	Fences
sehschärfe	acuity
Motorräder	Motorbike
Hemmer	Inhibitor
Mehrstufige	multistage
compulsion	Zwang
Poorer	Ärmer
Marianas	Marianen
disconnected	Losgelöst
lobenswert	Praiseworthy
Gesetzlich	Statutory
樺太	Karafuto
Impedance	阻抗
fresher	frischer
Ausgleich	balancing
Will	威爾
Diphtheria	diphtherie
Vernichtet	annihilated
currently	Momentan
fancy	schick
streifen	Stripes
Benoit	benoît
冰島	Iceland
Tied	被绑
Court	法庭
Bunnies	häschen
神託	oracle
Mazedonier	macedonians
lad	Bursche
neophytes	Neophyten
beard	胡须
Computing	運算
towers	türmen
Abgehoben	withdrew
Gegeben	Given
Collaborations	Kooperationen
messung	Measuring
Antilles	antillen
sketchbook	畫冊
Antiquar	antiquary
approximate	annähern
systems	systemen
Druckgrafik	printmaking
Wiedervorlage	Resubmission
karlchen	Carlie
Beleg	receipt
näherte	Approached
選択	Select
Spender	dispensers
booklets	broschüren
Eyelashes	wimpern
Entwaffnung	Disarming
Frozen	冻结
übersteigen	Exceeding
property	eigenschaft
小売	Retail
Poppies	罂粟
ampang	安邦
Erstattung	reimbursement
Epithelium	上皮細胞
padding	polster
Kostspielige	Costly
divestment	veräußerung
Epiphone	エピフォン
Feldspar	Feldspat
bestattungen	burials
kontrollen	checks
Impulse	衝動
Splinter	Splitter
düngemitteln	Fertilisers
payment	支払い
mitigation	緩解
sachverständige	Experts
Brennstoff	fuel
geborgen	Salvaged
sister	姉妹
Scheuklappen	Blinkers
fail	Versagen
lebkuchen	Gingerbread
帝王	imperial
Weib	Woman
Section	Abschnitt
Einbrecher	burglar
Dick	ディック
employee	員工
ペパーミント	peppermint
猫	Cats
Assess	Beurteilen
Theft	偷窃
Subunternehmer	subcontractor
Fruits	früchte
cable	電纜
leninism	列宁主义
Suitcases	Koffer
Nipple	乳首
Funeral	葬式
现実	Realities
Raum	Space
Comeback	カムバック
feder	Quill
Interagieren	engaging
卤化	Halogenated
refined	raffinierte
star	starling
Citroën	Citroen
regan	リーガン
precaution	vorsichtsmaßnahmen
堑	Grabens
divorce	scheiden
Steal	Klauen
存款	Deposit
Nigrische	nigerien
过敏	Allergies
ähm	um
reputation	Reputations
胃肠	Gastrointestinal
Genital	Genitalien
yuko	優子
bonsai	盆栽
foods	食物
ボッシ	Bossi
Daher	Hence
Anhörung	Hearing
領地	Territory
behaupten	claim
compilation	汇编
Diktatoren	Dictators
Cyrenaica	Kyrenaika
咖啡馆	cafe
Bandits	バンディッツ
Katalogisierung	cataloguing
Fertigstellung	finalise
Aggregation	集約
fahrpläne	Timetables
强迫性	coercive
civilised	zivilisierte
exhausting	anstrengend
gebrauch	Usage
normalen	normal
流體	fluids
palladium	パラジウム
Touchdown	达阵
chess	チェス
Syncretism	シンクレティズム
gesundheitsschutz	Osh
洗手間	bathroom
Finances	Finanzen
Optimalen	Optimal
ハンドボール	Handball
Bulle	bull
Sewell	シーウェル
次郎	Jiro
governmental	staatliche
照片	picture
drown	淹死
Widerspruch	Dissent
meteorologische	Meteorology
reindeer	Rentier
Jazz	爵士樂
ブロン	bronn
教练	Coach
unvernünftig	Unreasonable
フロリダ	florida
spacing	間隔
verbündeten	allied
sanften	Gentle
sampson	Samson
yikes	Huch
Planen	planning
fairyland	märchenland
pockets	Taschen
ケレン	keren
ブレット	Brett
Eisenbahnen	Railway
infected	Infizierten
Hasidim	Chassidim
toucan	tukan
two	Zwei
Participle	分词
thai	Thailändischen
objection	einwände
Exit	verlassen
ersticken	Suffocating
Depressiv	depressive
Zitronen	lemons
thinking	思考
Unions	gewerkschaft
Leidenschaften	passions
reconstruction	wiederaufbau
Apparently	Augenscheinlich
agrigento	Agrigent
Marshes	sümpfe
Solidify	巩固
ストライカー	striker
Spent	Verbrachte
Automatisieren	Automation
Opportunities	Gelegenheiten
vater	dad
Underwater	水中
condition	Voraussetzung
ミーム	memes
Skier	skifahrer
godfather	Paten
kuwabara	桑原
hofft	Hoping
Traumatologie	traumatology
fluss	River
weiterverkauf	Resell
working	働く
hennessy	ヘネシー
Pesticide	Pestizide
Authors	作家
细菌	bacteria
teeth	Zähnen
Firework	feuerwerk
造船廠	Shipyard
Verhandlungspartner	negotiators
breve	ブレーヴェ
支出	expenditures
巡逻	patrol
Wholesaler	großhändler
Visionär	Visionary
Dokumente	docs
Sanitäter	Paramedics
shower	シャワー
hurricanes	颶風
Hardest	schwierigste
Polymeric	polymere
肚脐	Navel
bug	Fehler
gunshot	铳声
錯誤	Error
Seal	Versiegeln
Roa	ロア
听诊器	Stethoscope
夜总会	nightclub
包容	inclusiveness
Studie	study
场地	Venue
Barrel	Fässer
zweit	Two
ensured	sichergestellt
haftung	liabilities
skates	Schlittschuhe
Hemorrhage	blutung
仇恨	Hate
Races	Rassen
farms	betriebe
proportionen	proportion
intensified	Intensiviert
distinction	区分
kunst	Art
audited	geprüft
Parse	analysieren
Melnikov	melnikow
spinnerei	spinning
降雨	Rainfall
respects	respektieren
browsers	瀏覽器
cherries	さくらんぼ
perfumes	Düfte
formale	formal
fugitive	flüchtige
Ehegatte	spouse
paar	couple
擁有權	Ownership
motiviert	Motivation
转移	Transference
Herakleios	heraclius
Cruiser	kreuzer
Humor	humour
Integrity	完整性
Detain	festnehmen
Persuasion	überzeugung
入國	Immigration
Versuch	Experiment
Befruchtung	fertilization
Condition	状態
hurra	hooray
flöhe	flea
solid	Feste
meriden	メリデン
Erlass	Remission
給與	Salary
Kraters	crater
decade	dekade
Zählung	enumeration
encryption	verschlüsseln
Beugen	bow
sorbischen	Sorbian
Polarize	Polarisieren
Dinosaur	Dinosaurier
Reredos	altarretabel
donate	stiften
wasserung	Splashdown
Ornithology	ornithologie
Abgeordneten	seconded
Kleingärten	allotments
societal	gesellschaftliche
populated	besiedelt
Spas	Bäder
hüpfen	hopping
unified	Einheitlichen
Revolutionize	revolutionieren
フェイルセーフ	failsafe
ceramist	Keramiker
多层	multidimensional
turn	转
rassistisch	Racist
Dynasty	Dynastie
Crustaceans	Krebstiere
remaining	Verbleibenden
Reisenden	Travelers
暴风雨	storm
Only	只
Clara	klara
Horny	geile
crawlspace	Zwischendecke
eyebrow	眉
stärksten	strongest
Auctioneer	auktionator
Hay	Heu
個體	individual
Ecologists	ökologen
unverfälscht	Unadulterated
busted	Erwischt
祖父母	Grandparent
wildfire	鬼火
diorite	diorit
Schwarz	シュワルツ
reduction	verringerung
Gotten	Bekam
tubing	schläuche
hike	远足
much	vieles
programmiersprachen	Languages
晚餐	dinner
有機物	organics
würfel	cubes
艺人	Artiste
ausführt	executes
believes	Glaubt
Evaluators	gutachter
Bets	einsätze
revitalizing	振興
Rattlesnakes	klapperschlangen
schnabeltier	Platypus
reflection	Reflexion
屬性	property
brandbomben	Incendiary
居合	iai
Archways	Torbögen
ホスト	Host
spoil	寵壞
implies	impliziert
Fireman	消防隊員
女童	girls
umweltschutz	Conservation
Expandieren	Expanding
istanbul	türkei
賢い	clever
鱼鳃	Gills
議定書	Protocol
Priestern	Priests
send	Senden
Leo	レオ
Pleadings	Schriftsatz
進度	progress
kaufen	buying
takano	高野
niederschläge	Rainfall
发酵	Fermentation
Streng	Rigorous
Nocturne	夜想曲
Bedrooms	Zimmer
starter	スターター
エルビウム	erbium
Eleanor	エレノア
Außerdem	Also
workspace	Arbeitsbereich
uris	Uri
观看	watch
seiko	圣子
manifestiert	Manifested
Disappear	verschwinden
Versteigert	auctioning
Servicing	Wartung
baselines	基準
schlucht	Ravine
効用	Utility
infinity	Unendlichen
Mannikin	急造
locations	所在地
hyperthyreose	Hyperthyroidism
穷	poor
copán	コパン
come	komm
qualification	Qualifizierung
bills	Rechnungen
